"Id_cons";"Nom;date_de_sortie";"Impact environmental";"Type";
1;NES;1987;Fort;Salon;
2;SNES;1992;Fort;Salon;
3;Nintendo 64;1997;Modéré;Salon;
4;Gamecube;2002;Modéré;Salon;
5;Wii;2006;Modéré;Salon;
6;Wii U;2012;Modéré;Salon;
7;Nintendo Switch;2017;Faible;Salon et Portable;
8;Gameboy;1990;Modéré;Portable;
9;Gameboy Color;1998;Modéré;Portable;
10;Gameboy Advance;2001;Modéré;Portable;
11;Gameboy Advance SP;2003;Modéré;Portable;
12;Nintendo DS;2005;Modéré;Portable;
13;Nintendo DSi;2009;Modéré;Portable;
14;Nintendo 3DS;2011;Faible;Portable;
